,UA_close,ATM,close_CE,volume_CE,oi_CE,close_PE,volume_PE,oi_PE,previous_OI_CE,previous_OI_PE,COI_CE,COI_IN_LOT_CE,COI_PE,COI_IN_LOT_PE,COI_Percentage_CE,PUT/CALL,CALL/PUT,COI_Percentage_PE
2023-05-08 09:15:00+05:30,42978.05,43000.0,249.5,6891300.0,3904725.0,271.45,3432950.0,2296875.0,,,,,,,,,,
2023-05-08 09:20:00+05:30,43038.0,43000.0,293.6,5898925.0,4218550.0,229.95,3717925.0,3313950.0,3904725.0,2296875.0,313825.0,12553.0,1017075.0,40683.0,7.0,3.24,0.31,31.0
2023-05-08 09:25:00+05:30,43128.8,43100.0,297.6,3851475.0,1635200.0,232.2,2471400.0,1146600.0,4218550.0,3313950.0,-2583350.0,-103334.0,-2167350.0,-86694.0,158.0,0.84,1.19,189.0
2023-05-08 09:30:00+05:30,43170.7,43200.0,247.3,3087900.0,2509200.0,268.5,1365700.0,1207500.0,1635200.0,1146600.0,874000.0,34960.0,60900.0,2436.0,35.0,0.07,14.35,5.0
2023-05-08 09:35:00+05:30,43168.45,43200.0,247.15,2668600.0,2815750.0,262.35,1599075.0,1590825.0,2509200.0,1207500.0,306550.0,12262.0,383325.0,15333.0,11.0,1.25,0.8,24.0
2023-05-08 09:40:00+05:30,43179.85,43200.0,253.15,2405850.0,2980625.0,250.6,1568450.0,1867500.0,2815750.0,1590825.0,164875.0,6595.0,276675.0,11067.0,6.0,1.68,0.6,15.0
2023-05-08 09:45:00+05:30,43259.7,43300.0,240.3,2561425.0,2501700.0,261.15,886225.0,886625.0,2980625.0,1867500.0,-478925.0,-19157.0,-980875.0,-39235.0,19.0,2.05,0.49,111.0
2023-05-08 09:50:00+05:30,43250.35,43300.0,244.3,3080175.0,2520550.0,260.4,2291625.0,1395300.0,2501700.0,886625.0,18850.0,754.0,508675.0,20347.0,1.0,26.99,0.04,36.0
2023-05-08 09:55:00+05:30,43304.05,43300.0,257.7,2517475.0,2683150.0,249.45,1459525.0,1488750.0,2520550.0,1395300.0,162600.0,6504.0,93450.0,3738.0,6.0,0.57,1.74,6.0
2023-05-08 10:00:00+05:30,43292.7,43300.0,256.0,2597300.0,2780775.0,247.75,1663875.0,1661700.0,2683150.0,1488750.0,97625.0,3905.0,172950.0,6918.0,4.0,1.77,0.56,10.0
2023-05-08 10:05:00+05:30,43247.45,43200.0,278.7,2456275.0,2695075.0,230.4,2577350.0,2707050.0,2780775.0,1661700.0,-85700.0,-3428.0,1045350.0,41814.0,3.0,12.2,0.08,39.0
2023-05-08 10:10:00+05:30,43174.95,43200.0,246.1,1981050.0,2760250.0,260.25,3049850.0,2729625.0,2695075.0,2707050.0,65175.0,2607.0,22575.0,903.0,2.0,0.35,2.89,1.0
2023-05-08 10:15:00+05:30,43200.35,43200.0,264.25,2041275.0,2894425.0,241.65,3136825.0,2865050.0,2760250.0,2729625.0,134175.0,5367.0,135425.0,5417.0,5.0,1.01,0.99,5.0
2023-05-08 10:20:00+05:30,43283.55,43300.0,252.4,2391800.0,3062325.0,252.95,1711275.0,1595875.0,2894425.0,2865050.0,167900.0,6716.0,-1269175.0,-50767.0,5.0,7.56,0.13,80.0
2023-05-08 10:25:00+05:30,43265.4,43300.0,253.85,1913850.0,3138975.0,250.35,1124700.0,1690750.0,3062325.0,1595875.0,76650.0,3066.0,94875.0,3795.0,2.0,1.24,0.81,6.0
2023-05-08 10:30:00+05:30,43256.7,43300.0,233.9,2360900.0,3272925.0,264.35,1206750.0,1761675.0,3138975.0,1690750.0,133950.0,5358.0,70925.0,2837.0,4.0,0.53,1.89,4.0
2023-05-08 10:35:00+05:30,43256.55,43300.0,235.25,1008575.0,3178925.0,264.8,899825.0,1852775.0,3272925.0,1761675.0,-94000.0,-3760.0,91100.0,3644.0,3.0,0.97,1.03,5.0
2023-05-08 10:40:00+05:30,43276.15,43300.0,248.95,1088475.0,3241900.0,244.2,922950.0,1850200.0,3178925.0,1852775.0,62975.0,2519.0,-2575.0,-103.0,2.0,0.04,24.46,0.0
2023-05-08 10:45:00+05:30,43320.8,43300.0,271.6,3346575.0,3188450.0,224.2,1713200.0,1861500.0,3241900.0,1850200.0,-53450.0,-2138.0,11300.0,452.0,2.0,0.21,4.73,1.0
2023-05-08 10:50:00+05:30,43262.65,43300.0,240.95,2271225.0,3178775.0,254.8,1426925.0,1939275.0,3188450.0,1861500.0,-9675.0,-387.0,77775.0,3111.0,0.0,8.04,0.12,4.0
2023-05-08 10:55:00+05:30,43274.1,43300.0,241.0,919050.0,3283000.0,253.6,830500.0,2041250.0,3178775.0,1939275.0,104225.0,4169.0,101975.0,4079.0,3.0,0.98,1.02,5.0
2023-05-08 11:00:00+05:30,43248.1,43200.0,284.95,1002150.0,2969700.0,214.8,927575.0,2819800.0,3283000.0,2041250.0,-313300.0,-12532.0,778550.0,31142.0,11.0,2.48,0.4,28.0
2023-05-08 11:05:00+05:30,43218.8,43200.0,270.05,1196050.0,2945475.0,223.95,1359575.0,2870375.0,2969700.0,2819800.0,-24225.0,-969.0,50575.0,2023.0,1.0,2.09,0.48,2.0
2023-05-08 11:10:00+05:30,43257.85,43300.0,237.85,1088000.0,3413925.0,251.8,924300.0,2156600.0,2945475.0,2870375.0,468450.0,18738.0,-713775.0,-28551.0,14.0,1.52,0.66,33.0
2023-05-08 11:15:00+05:30,43253.95,43300.0,236.5,873300.0,3441650.0,250.85,613725.0,2171375.0,3413925.0,2156600.0,27725.0,1109.0,14775.0,591.0,1.0,0.53,1.88,1.0
2023-05-08 11:20:00+05:30,43243.2,43200.0,286.6,829025.0,3079350.0,209.0,825925.0,2905350.0,3441650.0,2171375.0,-362300.0,-14492.0,733975.0,29359.0,12.0,2.03,0.49,25.0
2023-05-08 11:25:00+05:30,43229.45,43200.0,281.35,652350.0,3120075.0,213.45,714925.0,2917025.0,3079350.0,2905350.0,40725.0,1629.0,11675.0,467.0,1.0,0.29,3.49,0.0
2023-05-08 11:30:00+05:30,43213.3,43200.0,284.2,1023225.0,3186900.0,216.0,934125.0,2944175.0,3120075.0,2917025.0,66825.0,2673.0,27150.0,1086.0,2.0,0.41,2.46,1.0
2023-05-08 11:35:00+05:30,43287.75,43300.0,255.0,1370325.0,3625700.0,233.8,1134425.0,2180825.0,3186900.0,2944175.0,438800.0,17552.0,-763350.0,-30534.0,12.0,1.74,0.57,35.0
2023-05-08 11:40:00+05:30,43289.9,43300.0,251.75,1581225.0,3868425.0,236.5,861675.0,2273150.0,3625700.0,2180825.0,242725.0,9709.0,92325.0,3693.0,6.0,0.38,2.63,4.0
2023-05-08 11:45:00+05:30,43307.35,43300.0,262.9,1591525.0,3889150.0,223.95,861975.0,2329625.0,3868425.0,2273150.0,20725.0,829.0,56475.0,2259.0,1.0,2.72,0.37,2.0
